,angle
0,69.31890064189062
1,69.31890064189062
2,69.31890064189062
3,69.31242218455192
4,69.31242218455192
5,69.31242218455192
6,69.30625469448518
7,69.30625469448518
8,69.30625469448518
9,69.300842044512
10,69.300842044512
11,69.300842044512
12,69.2944955494595
13,69.2944955494595
14,69.2944955494595
15,69.28827138752779
16,69.28827138752779
17,69.28827138752779
18,69.28150267565607
19,69.28150267565607
20,69.28150267565607
21,69.27618697383693
22,69.27618697383693
23,69.27618697383693
24,69.2703397006059
25,69.2703397006059
26,69.2703397006059
27,69.26434355368069
28,69.26434355368069
29,69.26434355368069
30,69.26172930742987
31,69.26172930742987
32,69.26172930742987
33,69.25649717517923
34,69.25649717517923
35,69.25649717517923
36,69.25204335613883
37,69.25204335613883
38,69.25204335613883
39,69.2484315782666
40,69.2484315782666
41,69.2484315782666
42,69.2495231386272
43,69.2495231386272
44,69.2495231386272
45,69.24996376809528
46,69.24996376809528
47,69.24996376809528
48,69.24641587342
49,69.24641587342
50,69.24641587342
51,69.24316292197048
52,69.24316292197048
53,69.24316292197048
54,69.23558205571533
55,69.23558205571533
56,69.23558205571533
57,69.22802867144985
58,69.22802867144985
59,69.22802867144985
60,69.21775534292345
61,69.21775534292345
62,69.21775534292345
63,69.2042718065096
64,69.2042718065096
65,69.2042718065096
66,69.1833329580146
67,69.1833329580146
68,69.1833329580146
69,69.16336107934494
70,69.16336107934494
71,69.16336107934494
72,69.14240802123258
73,69.14240802123258
74,69.14240802123258
75,69.12299398032302
76,69.12299398032302
77,69.12299398032302
78,69.10590390946582
79,69.10590390946582
80,69.10590390946582
81,69.0892723178956
82,69.0892723178956
83,69.0892723178956
84,69.07630642796512
85,69.07630642796512
86,69.07630642796512
87,69.06563792817427
88,69.06563792817427
89,69.06563792817427
90,69.05355135883845
91,69.05355135883845
92,69.05355135883845
93,69.04234612728506
94,69.04234612728506
95,69.04234612728506
96,69.03261530671165
97,69.03261530671165
98,69.03261530671165
99,69.02393288197456
100,69.02393288197456
101,69.02393288197456
102,69.01683685096266
103,69.01683685096266
104,69.01683685096266
105,69.00906215732641
106,69.00906215732641
107,69.00906215732641
108,69.0011299926928
109,69.0011299926928
110,69.0011299926928
111,68.99491615564187
112,68.99491615564187
113,68.99491615564187
114,68.98922442866609
115,68.98922442866609
116,68.98922442866609
117,68.98470393463784
118,68.98470393463784
119,68.98470393463784
120,68.97900173863457
121,68.97900173863457
122,68.97900173863457
123,68.97370644697635
124,68.97370644697635
125,68.97370644697635
126,68.97080456755117
127,68.97080456755117
128,68.97080456755117
129,68.9691613609395
130,68.9691613609395
131,68.9691613609395
132,68.96864696145087
133,68.96864696145087
134,68.96864696145087
135,68.9680869855082
136,68.9680869855082
137,68.9680869855082
138,68.96813405971183
139,68.96813405971183
140,68.96813405971183
141,68.96833996367839
142,68.96833996367839
143,68.96833996367839
144,68.96936276399134
145,68.96936276399134
146,68.96936276399134
147,68.97228881932641
148,68.97228881932641
149,68.97228881932641
150,68.9757076825736
151,68.9757076825736
152,68.9757076825736
153,68.99776243401573
154,68.99776243401573
155,68.99776243401573
156,69.02656604752408
157,69.02656604752408
158,69.02656604752408
159,69.05722479607813
160,69.05722479607813
161,69.05722479607813
162,69.08635000504579
163,69.08635000504579
164,69.08635000504579
165,69.10782529972927
166,69.10782529972927
167,69.10782529972927
168,69.14054712212582
169,69.14054712212582
170,69.14054712212582
171,69.18531363177475
172,69.18531363177475
173,69.18531363177475
174,69.23285946381174
175,69.23285946381174
176,69.23285946381174
177,69.2744792125408
178,69.2744792125408
179,69.2744792125408
180,69.31134636303835
181,69.31134636303835
182,69.31134636303835
183,69.33919528283374
184,69.33919528283374
185,69.33919528283374
186,69.35675465152814
187,69.35675465152814
188,69.35675465152814
189,69.37213541427258
190,69.37213541427258
191,69.37213541427258
192,69.3853409772143
193,69.3853409772143
194,69.3853409772143
195,69.39586064423347
196,69.39586064423347
197,69.39586064423347
198,69.40447170862716
199,69.40447170862716
200,69.40447170862716
201,69.41198489927771
202,69.41198489927771
203,69.41198489927771
204,69.41830407902289
205,69.41830407902289
206,69.41830407902289
207,69.42313264094969
208,69.42313264094969
209,69.42313264094969
210,69.42671136485623
211,69.42671136485623
212,69.42671136485623
213,69.42952897389483
214,69.42952897389483
215,69.42952897389483
216,69.4314973707536
217,69.4314973707536
218,69.4314973707536
219,69.43328375609718
220,69.43328375609718
221,69.43328375609718
222,69.43416108425023
223,69.43416108425023
224,69.43416108425023
225,69.43516238192345
226,69.43516238192345
227,69.43516238192345
228,69.43516673058588
229,69.43516673058588
230,69.43516673058588
231,69.43472518136993
232,69.43472518136993
233,69.43472518136993
234,69.43356669887986
235,69.43356669887986
236,69.43356669887986
237,69.43228340036603
238,69.43228340036603
239,69.43228340036603
240,69.42975159607631
241,69.42975159607631
242,69.42975159607631
243,69.42673431973282
244,69.42673431973282
245,69.42673431973282
246,69.42312376728752
247,69.42312376728752
248,69.42312376728752
249,69.4205329037621
250,69.4205329037621
251,69.4205329037621
252,69.41733566697295
253,69.41733566697295
254,69.41733566697295
255,69.41316342004794
256,69.41316342004794
257,69.41316342004794
258,69.40604197860958
259,69.40604197860958
260,69.40604197860958
261,69.39834657287246
262,69.39834657287246
263,69.39834657287246
264,69.38955883410455
265,69.38955883410455
266,69.38955883410455
267,69.37957070999155
268,69.37957070999155
269,69.37957070999155
270,69.36995408361501
271,69.36995408361501
272,69.36995408361501
273,69.3607099035051
274,69.3607099035051
275,69.3607099035051
276,69.3517258646359
277,69.3517258646359
278,69.3517258646359
279,69.34096064864822
280,69.34096064864822
281,69.34096064864822
282,69.33005268551891
283,69.33005268551891
284,69.33005268551891
285,69.31874556038223
286,69.31874556038223
287,69.31874556038223
288,69.30810468782111
289,69.30810468782111
290,69.30810468782111
291,69.29677516348418
292,69.29677516348418
293,69.29677516348418
294,69.30111655140307
295,69.30111655140307
296,69.30111655140307
297,69.30333255020311
